;Actor;Sex;Emotion;Intensity;Statement;Reps;File;No. Samples;Duration
0;Actor_01;Man;Neutral;Normal;Kids are talking by the door;1;03-01-01-01-01-01-01.wav;72838;3.3033106575963718
1;Actor_01;Man;Neutral;Normal;Kids are talking by the door;2;03-01-01-01-01-02-01.wav;73574;3.336689342403628
2;Actor_01;Man;Neutral;Normal;Dogs are sitting by the door;1;03-01-01-01-02-01-01.wav;72102;3.2699319727891156
3;Actor_01;Man;Neutral;Normal;Dogs are sitting by the door;2;03-01-01-01-02-02-01.wav;69895;3.1698412698412697
4;Actor_01;Man;Calm;Normal;Kids are talking by the door;1;03-01-02-01-01-01-01.wav;77988;3.53687074829932
5;Actor_01;Man;Calm;Normal;Kids are talking by the door;2;03-01-02-01-01-02-01.wav;79460;3.603628117913832
6;Actor_01;Man;Calm;Normal;Dogs are sitting by the door;1;03-01-02-01-02-01-01.wav;77253;3.5035374149659866
7;Actor_01;Man;Calm;Normal;Dogs are sitting by the door;2;03-01-02-01-02-02-01.wav;76517;3.47015873015873
8;Actor_01;Man;Calm;Strong;Kids are talking by the door;1;03-01-02-02-01-01-01.wav;81667;3.703718820861678
9;Actor_01;Man;Calm;Strong;Kids are talking by the door;2;03-01-02-02-01-02-01.wav;88289;4.004036281179138
10;Actor_01;Man;Calm;Strong;Dogs are sitting by the door;1;03-01-02-02-02-01-01.wav;92703;4.20421768707483
11;Actor_01;Man;Calm;Strong;Dogs are sitting by the door;2;03-01-02-02-02-02-01.wav;88289;4.004036281179138
12;Actor_01;Man;Happy;Normal;Kids are talking by the door;1;03-01-03-01-01-01-01.wav;76517;3.47015873015873
13;Actor_01;Man;Happy;Normal;Kids are talking by the door;2;03-01-03-01-01-02-01.wav;76517;3.47015873015873
14;Actor_01;Man;Happy;Normal;Dogs are sitting by the door;1;03-01-03-01-02-01-01.wav;77988;3.53687074829932
15;Actor_01;Man;Happy;Normal;Dogs are sitting by the door;2;03-01-03-01-02-02-01.wav;81667;3.703718820861678
16;Actor_01;Man;Happy;Strong;Kids are talking by the door;1;03-01-03-02-01-01-01.wav;80931;3.670340136054422
17;Actor_01;Man;Happy;Strong;Kids are talking by the door;2;03-01-03-02-01-02-01.wav;80195;3.6369614512471657
18;Actor_01;Man;Happy;Strong;Dogs are sitting by the door;1;03-01-03-02-02-01-01.wav;86817;3.937278911564626
19;Actor_01;Man;Happy;Strong;Dogs are sitting by the door;2;03-01-03-02-02-02-01.wav;86817;3.937278911564626
20;Actor_01;Man;Sad;Normal;Kids are talking by the door;1;03-01-04-01-01-01-01.wav;84610;3.83718820861678
21;Actor_01;Man;Sad;Normal;Kids are talking by the door;2;03-01-04-01-01-02-01.wav;78724;3.570249433106576
22;Actor_01;Man;Sad;Normal;Dogs are sitting by the door;1;03-01-04-01-02-01-01.wav;77253;3.5035374149659866
23;Actor_01;Man;Sad;Normal;Dogs are sitting by the door;2;03-01-04-01-02-02-01.wav;74310;3.3700680272108845
24;Actor_01;Man;Sad;Strong;Kids are talking by the door;1;03-01-04-02-01-01-01.wav;83874;3.803809523809524
25;Actor_01;Man;Sad;Strong;Kids are talking by the door;2;03-01-04-02-01-02-01.wav;81667;3.703718820861678
26;Actor_01;Man;Sad;Strong;Dogs are sitting by the door;1;03-01-04-02-02-01-01.wav;82403;3.737097505668934
27;Actor_01;Man;Sad;Strong;Dogs are sitting by the door;2;03-01-04-02-02-02-01.wav;82403;3.737097505668934
28;Actor_01;Man;Angry;Normal;Kids are talking by the door;1;03-01-05-01-01-01-01.wav;85346;3.8705668934240363
29;Actor_01;Man;Angry;Normal;Kids are talking by the door;2;03-01-05-01-01-02-01.wav;86817;3.937278911564626
30;Actor_01;Man;Angry;Normal;Dogs are sitting by the door;1;03-01-05-01-02-01-01.wav;77253;3.5035374149659866
31;Actor_01;Man;Angry;Normal;Dogs are sitting by the door;2;03-01-05-01-02-02-01.wav;82403;3.737097505668934
32;Actor_01;Man;Angry;Strong;Kids are talking by the door;1;03-01-05-02-01-01-01.wav;90496;4.104126984126984
33;Actor_01;Man;Angry;Strong;Kids are talking by the door;2;03-01-05-02-01-02-01.wav;96382;4.3710657596371885
34;Actor_01;Man;Angry;Strong;Dogs are sitting by the door;1;03-01-05-02-02-01-01.wav;91231;4.1374603174603175
35;Actor_01;Man;Angry;Strong;Dogs are sitting by the door;2;03-01-05-02-02-02-01.wav;97853;4.437777777777778
36;Actor_01;Man;Fearful;Normal;Kids are talking by the door;1;03-01-06-01-01-01-01.wav;80931;3.670340136054422
37;Actor_01;Man;Fearful;Normal;Kids are talking by the door;2;03-01-06-01-01-02-01.wav;80196;3.6370068027210882
38;Actor_01;Man;Fearful;Normal;Dogs are sitting by the door;1;03-01-06-01-02-01-01.wav;75781;3.436780045351474
39;Actor_01;Man;Fearful;Normal;Dogs are sitting by the door;2;03-01-06-01-02-02-01.wav;81667;3.703718820861678
40;Actor_01;Man;Fearful;Strong;Kids are talking by the door;1;03-01-06-02-01-01-01.wav;110361;5.005034013605442
41;Actor_01;Man;Fearful;Strong;Kids are talking by the door;2;03-01-06-02-01-02-01.wav;93439;4.237596371882086
42;Actor_01;Man;Fearful;Strong;Dogs are sitting by the door;1;03-01-06-02-02-01-01.wav;87553;3.970657596371882
43;Actor_01;Man;Fearful;Strong;Dogs are sitting by the door;2;03-01-06-02-02-02-01.wav;86082;3.9039455782312924
44;Actor_01;Man;Disgust;Normal;Kids are talking by the door;1;03-01-07-01-01-01-01.wav;85345;3.8705215419501133
45;Actor_01;Man;Disgust;Normal;Kids are talking by the door;2;03-01-07-01-01-02-01.wav;86081;3.9039002267573695
