File;Emotion;sampen;hurst;dfa;lyap_e1;lyap_e2;lyap_e3;lyap_e4
03-01-01-01-01-01-01.wav;Neutral;0.0034300676;0.66274154;0.64734745;0.15571544;0.041439775;-0.04455741;-0.18935844
03-01-01-01-01-02-01.wav;Neutral;0.00419243;0.6792294;0.66517377;0.16319233;0.044046666;-0.043395936;-0.19190563
03-01-01-01-02-01-01.wav;Neutral;0.002442404;0.6592527;0.6145238;0.16831964;0.045530356;-0.044717498;-0.19144209
03-01-01-01-02-02-01.wav;Neutral;0.002787261;0.67209136;0.6606126;0.18130076;0.049826197;-0.043994416;-0.19565096
03-01-02-01-01-01-01.wav;Calm;0.0055645653;0.6351295;0.6720308;0.16211861;0.043489706;-0.045779504;-0.19341896
03-01-02-01-01-02-01.wav;Calm;0.005805171;0.61201626;0.70552653;0.15655378;0.04047845;-0.044740494;-0.18887565
03-01-02-01-02-01-01.wav;Calm;0.0032530937;0.65821;0.64719945;0.1597414;0.042243715;-0.044199247;-0.18831882
03-01-02-01-02-02-01.wav;Calm;0.0032835254;0.66881776;0.67460155;0.17715095;0.049502227;-0.043201353;-0.19297504
03-01-02-02-01-01-01.wav;Calm;0.0052776765;0.62856704;0.7579896;0.15562885;0.040577307;-0.04484408;-0.18697189
03-01-02-02-01-02-01.wav;Calm;0.008309688;0.58495414;0.69502187;0.16109821;0.04272175;-0.043467466;-0.18862134
03-01-02-02-02-01-01.wav;Calm;0.0068730847;0.5856805;0.6467371;0.16702993;0.045668803;-0.04469265;-0.1931446
03-01-02-02-02-02-01.wav;Calm;0.005809339;0.57757074;0.6539977;0.15894856;0.042599052;-0.044562176;-0.18838291
03-01-03-01-01-01-01.wav;Happy;0.0054204194;0.606138;0.6192837;0.17799488;0.051237933;-0.04190372;-0.19663526
03-01-03-01-01-02-01.wav;Happy;0.006096429;0.6863435;0.6317003;0.16253358;0.04407277;-0.043745495;-0.18904178
03-01-03-01-02-01-01.wav;Happy;0.0033829769;0.58165735;0.6170159;0.16206591;0.044607695;-0.04312242;-0.1923808
03-01-03-01-02-02-01.wav;Happy;0.0040081087;0.6145214;0.59793067;0.17225651;0.04807359;-0.04411247;-0.19609626
03-01-03-02-01-01-01.wav;Happy;0.0044698766;0.493497;0.53680456;0.16893557;0.048340287;-0.04312189;-0.19350831
03-01-03-02-01-02-01.wav;Happy;0.005067782;0.5933941;0.55489975;0.16797367;0.048855342;-0.03958304;-0.18732043
03-01-03-02-02-01-01.wav;Happy;0.0039148424;0.5409052;0.5138819;0.1579467;0.04587336;-0.039946202;-0.18531582
03-01-03-02-02-02-01.wav;Happy;0.0044189356;0.5137825;0.49989688;0.15775084;0.04393719;-0.042833872;-0.18877748
03-01-04-01-01-01-01.wav;Sad;0.0066306903;0.5182384;0.6619389;0.16517654;0.045098726;-0.04430186;-0.18823078
03-01-04-01-01-02-01.wav;Sad;0.0048775254;0.5752489;0.66086626;0.16509797;0.044865936;-0.04226386;-0.1898962
03-01-04-01-02-01-01.wav;Sad;0.0038717;0.5387998;0.6401529;0.14430656;0.035151906;-0.046133213;-0.184724
