;File;No. Samples;Sample Rate
0;03-01-01-01-01-01-01.wav;72838;9999.968
1;03-01-01-01-01-02-01.wav;73574;10000.032
2;03-01-01-01-02-01-01.wav;72102;9999.902
3;03-01-01-01-02-02-01.wav;69895;9999.87
4;03-01-02-01-01-01-01.wav;77988;9999.8
5;03-01-02-01-01-02-01.wav;79460;9999.922
6;03-01-02-01-02-01-01.wav;77253;9999.894
7;03-01-02-01-02-02-01.wav;76517;9999.831
8;03-01-02-02-01-01-01.wav;81667;9999.949
9;03-01-02-02-01-02-01.wav;88289;9999.909
10;03-01-02-02-02-01-01.wav;92703;9999.958
11;03-01-02-02-02-02-01.wav;88289;9999.909
12;03-01-03-01-01-01-01.wav;76517;9999.831
13;03-01-03-01-01-02-01.wav;76517;9999.831
14;03-01-03-01-02-01-01.wav;77988;9999.8
15;03-01-03-01-02-02-01.wav;81667;9999.949
16;03-01-03-02-01-01-01.wav;80931;9999.891
17;03-01-03-02-01-02-01.wav;80195;9999.831
18;03-01-03-02-02-01-01.wav;86817;9999.8
19;03-01-03-02-02-02-01.wav;86817;9999.8
20;03-01-04-01-01-01-01.wav;84610;10000.03
21;03-01-04-01-01-02-01.wav;78724;9999.861
22;03-01-04-01-02-01-01.wav;77253;9999.894
23;03-01-04-01-02-02-01.wav;74310;9999.798
24;03-01-04-02-01-01-01.wav;83874;9999.975
25;03-01-04-02-01-02-01.wav;81667;9999.949
26;03-01-04-02-02-01-01.wav;82403;10000.007
27;03-01-04-02-02-02-01.wav;82403;10000.007
28;03-01-05-01-01-01-01.wav;85346;9999.827
29;03-01-05-01-01-02-01.wav;86817;9999.8
30;03-01-05-01-02-01-01.wav;77253;9999.894
31;03-01-05-01-02-02-01.wav;82403;10000.007
32;03-01-05-02-01-01-01.wav;90496;9999.935
33;03-01-05-02-01-02-01.wav;96382;9999.85
34;03-01-05-02-02-01-01.wav;91231;9999.8545
35;03-01-05-02-02-02-01.wav;97853;9999.825
36;03-01-06-01-01-01-01.wav;80931;9999.891
37;03-01-06-01-01-02-01.wav;80196;9999.981
38;03-01-06-01-02-01-01.wav;75781;9999.768
39;03-01-06-01-02-02-01.wav;81667;9999.949
40;03-01-06-02-01-01-01.wav;110361;9999.932
41;03-01-06-02-01-02-01.wav;93439;10000.009
42;03-01-06-02-02-01-01.wav;87553;9999.8545
43;03-01-06-02-02-02-01.wav;86082;9999.883
44;03-01-07-01-01-01-01.wav;85345;9999.944
45;03-01-07-01-01-02-01.wav;86081;9999.999
46;03-01-07-01-02-01-01.wav;86081;9999.999
47;03-01-07-01-02-02-01.wav;84610;10000.03
48;03-01-07-02-01-01-01.wav;94910;9999.98
49;03-01-07-02-01-02-01.wav;90496;9999.935
50;03-01-07-02-02-01-01.wav;89025;9999.963
51;03-01-07-02-02-02-01.wav;96382;9999.85
52;03-01-08-01-01-01-01.wav;75045;9999.996
53;03-01-08-01-01-02-01.wav;72102;9999.902
54;03-01-08-01-02-01-01.wav;77989;9999.954
55;03-01-08-01-02-02-01.wav;72102;9999.902
56;03-01-08-02-01-01-01.wav;75781;9999.768
57;03-01-08-02-01-02-01.wav;78724;9999.861
58;03-01-08-02-02-01-01.wav;77253;9999.894
59;03-01-08-02-02-02-01.wav;72103;9999.764
60;03-01-01-01-01-01-02.wav;80195;9999.831
61;03-01-01-01-01-02-02.wav;79460;9999.922
62;03-01-01-01-02-01-02.wav;83138;9999.918
63;03-01-01-01-02-02-02.wav;79460;9999.922
64;03-01-02-01-01-01-02.wav;84610;10000.03
65;03-01-02-01-01-02-02.wav;88289;9999.909
66;03-01-02-01-02-01-02.wav;84610;10000.03
67;03-01-02-01-02-02-02.wav;87553;9999.8545
68;03-01-02-02-01-01-02.wav;91232;9999.986
69;03-01-02-02-01-02-02.wav;89025;9999.963
70;03-01-02-02-02-01-02.wav;90496;9999.935
71;03-01-02-02-02-02-02.wav;90496;9999.935
72;03-01-03-01-01-01-02.wav;79460;9999.922
73;03-01-03-01-01-02-02.wav;81667;9999.949
74;03-01-03-01-02-01-02.wav;83139;9999.798
75;03-01-03-01-02-02-02.wav;82403;10000.007
76;03-01-03-02-01-01-02.wav;81667;9999.949
77;03-01-03-02-01-02-02.wav;80931;9999.891
78;03-01-03-02-02-01-02.wav;81667;9999.949
79;03-01-03-02-02-02-02.wav;85345;9999.944
80;03-01-04-01-01-01-02.wav;84610;10000.03
81;03-01-04-01-01-02-02.wav;83139;9999.798
82;03-01-04-01-02-01-02.wav;82403;10000.007
83;03-01-04-01-02-02-02.wav;83139;9999.798
84;03-01-04-02-01-01-02.wav;82403;10000.007
85;03-01-04-02-01-02-02.wav;83138;9999.918
86;03-01-04-02-02-01-02.wav;81667;9999.949
87;03-01-04-02-02-02-02.wav;80931;9999.891
88;03-01-05-01-01-01-02.wav;80931;9999.891
89;03-01-05-01-01-02-02.wav;80931;9999.891
90;03-01-05-01-02-01-02.wav;83138;9999.918
91;03-01-05-01-02-02-02.wav;83874;9999.975
92;03-01-05-02-01-01-02.wav;86082;9999.883
93;03-01-05-02-01-02-02.wav;88289;9999.909
94;03-01-05-02-02-01-02.wav;88289;9999.909
95;03-01-05-02-02-02-02.wav;88289;9999.909
96;03-01-06-01-01-01-02.wav;80196;9999.981
97;03-01-06-01-01-02-02.wav;82403;10000.007
98;03-01-06-01-02-01-02.wav;80931;9999.891
99;03-01-06-01-02-02-02.wav;82403;10000.007
100;03-01-06-02-01-01-02.wav;83874;9999.975
101;03-01-06-02-01-02-02.wav;80196;9999.981
102;03-01-06-02-02-01-02.wav;79460;9999.922
103;03-01-06-02-02-02-02.wav;79460;9999.922
104;03-01-07-01-01-01-02.wav;80931;9999.891
105;03-01-07-01-01-02-02.wav;80196;9999.981
106;03-01-07-01-02-01-02.wav;85346;9999.827
107;03-01-07-01-02-02-02.wav;84610;10000.03
108;03-01-07-02-01-01-02.wav;91231;9999.8545
109;03-01-07-02-01-02-02.wav;91231;9999.8545
110;03-01-07-02-02-01-02.wav;88289;9999.909
111;03-01-07-02-02-02-02.wav;89025;9999.963
112;03-01-08-01-01-01-02.wav;77988;9999.8
113;03-01-08-01-01-02-02.wav;77988;9999.8
114;03-01-08-01-02-01-02.wav;79460;9999.922
115;03-01-08-01-02-02-02.wav;77989;9999.954
116;03-01-08-02-01-01-02.wav;82403;10000.007
117;03-01-08-02-01-02-02.wav;83139;9999.798
118;03-01-08-02-02-01-02.wav;82403;10000.007
119;03-01-08-02-02-02-02.wav;83875;9999.855
120;03-01-01-01-01-01-03.wav;75781;9999.768
121;03-01-01-01-01-02-03.wav;77253;9999.894
122;03-01-01-01-02-01-03.wav;77253;9999.894
123;03-01-01-01-02-02-03.wav;76517;9999.831
124;03-01-02-01-01-01-03.wav;84610;10000.03
125;03-01-02-01-01-02-03.wav;82403;10000.007
126;03-01-02-01-02-01-03.wav;84610;10000.03
127;03-01-02-01-02-02-03.wav;87553;9999.8545
128;03-01-02-02-01-01-03.wav;89025;9999.963
129;03-01-02-02-01-02-03.wav;87553;9999.8545
130;03-01-02-02-02-01-03.wav;91231;9999.8545
131;03-01-02-02-02-02-03.wav;88289;9999.909
132;03-01-03-01-01-01-03.wav;83138;9999.918
133;03-01-03-01-01-02-03.wav;79460;9999.922
134;03-01-03-01-02-01-03.wav;77253;9999.894
135;03-01-03-01-02-02-03.wav;77253;9999.894
136;03-01-03-02-01-01-03.wav;94911;9999.875
137;03-01-03-02-01-02-03.wav;97117;10000.002
138;03-01-03-02-02-01-03.wav;91231;9999.8545
139;03-01-03-02-02-02-03.wav;84610;10000.03
140;03-01-04-01-01-01-03.wav;79460;9999.922
141;03-01-04-01-01-02-03.wav;78724;9999.861
142;03-01-04-01-02-01-03.wav;78724;9999.861
143;03-01-04-01-02-02-03.wav;77989;9999.954
144;03-01-04-02-01-01-03.wav;83139;9999.798
145;03-01-04-02-01-02-03.wav;84610;10000.03
146;03-01-04-02-02-01-03.wav;76517;9999.831
147;03-01-04-02-02-02-03.wav;81667;9999.949
148;03-01-05-01-01-01-03.wav;88289;9999.909
149;03-01-05-01-01-02-03.wav;89760;9999.882
150;03-01-05-01-02-01-03.wav;83875;9999.855
151;03-01-05-01-02-02-03.wav;84610;10000.03
152;03-01-05-02-01-01-03.wav;97117;10000.002
153;03-01-05-02-01-02-03.wav;97118;9999.899
154;03-01-05-02-02-01-03.wav;93439;10000.009
155;03-01-05-02-02-02-03.wav;99325;9999.922
156;03-01-06-01-01-01-03.wav;82403;10000.007
157;03-01-06-01-01-02-03.wav;84610;10000.03
158;03-01-06-01-02-01-03.wav;77253;9999.894
159;03-01-06-01-02-02-03.wav;70631;9999.9375
160;03-01-06-02-01-01-03.wav;72839;9999.83
161;03-01-06-02-01-02-03.wav;86081;9999.999
162;03-01-06-02-02-01-03.wav;72839;9999.83
163;03-01-06-02-02-02-03.wav;75781;9999.768
164;03-01-07-01-01-01-03.wav;89025;9999.963
165;03-01-07-01-01-02-03.wav;87553;9999.8545
166;03-01-07-01-02-01-03.wav;79460;9999.922
167;03-01-07-01-02-02-03.wav;83139;9999.798
168;03-01-07-02-01-01-03.wav;90496;9999.935
169;03-01-07-02-01-02-03.wav;90496;9999.935
170;03-01-07-02-02-01-03.wav;84610;10000.03
171;03-01-07-02-02-02-03.wav;86817;9999.8
172;03-01-08-01-01-01-03.wav;71367;10000.004
173;03-01-08-01-01-02-03.wav;74310;9999.798
174;03-01-08-01-02-01-03.wav;70631;9999.9375
175;03-01-08-01-02-02-03.wav;78724;9999.861
176;03-01-08-02-01-01-03.wav;72103;9999.764
177;03-01-08-02-01-02-03.wav;79460;9999.922
178;03-01-08-02-02-01-03.wav;77253;9999.894
179;03-01-08-02-02-02-03.wav;71367;10000.004
180;03-01-01-01-01-01-04.wav;72838;9999.968
181;03-01-01-01-01-02-04.wav;74310;9999.798
182;03-01-01-01-02-01-04.wav;72103;9999.764
183;03-01-01-01-02-02-04.wav;71367;10000.004
184;03-01-02-01-01-01-04.wav;83874;9999.975
185;03-01-02-01-01-02-04.wav;82403;10000.007
186;03-01-02-01-02-01-04.wav;80196;9999.981
187;03-01-02-01-02-02-04.wav;78725;10000.015
188;03-01-02-02-01-01-04.wav;87553;9999.8545
189;03-01-02-02-01-02-04.wav;83875;9999.855
190;03-01-02-02-02-01-04.wav;83874;9999.975
191;03-01-02-02-02-02-04.wav;89025;9999.963
192;03-01-03-01-01-01-04.wav;77253;9999.894
193;03-01-03-01-01-02-04.wav;77988;9999.8
194;03-01-03-01-02-01-04.wav;77253;9999.894
195;03-01-03-01-02-02-04.wav;75781;9999.768
196;03-01-03-02-01-01-04.wav;85346;9999.827
197;03-01-03-02-01-02-04.wav;78724;9999.861
198;03-01-03-02-02-01-04.wav;79460;9999.922
199;03-01-03-02-02-02-04.wav;83138;9999.918
200;03-01-04-01-01-01-04.wav;74310;9999.798
201;03-01-04-01-01-02-04.wav;75045;9999.996
202;03-01-04-01-02-01-04.wav;75781;9999.768
203;03-01-04-01-02-02-04.wav;76517;9999.831
204;03-01-04-02-01-01-04.wav;80931;9999.891
205;03-01-04-02-01-02-04.wav;83139;9999.798
206;03-01-04-02-02-01-04.wav;83139;9999.798
207;03-01-04-02-02-02-04.wav;83139;9999.798
208;03-01-05-01-01-01-04.wav;81667;9999.949
209;03-01-05-01-01-02-04.wav;79460;9999.922
210;03-01-05-01-02-01-04.wav;76517;9999.831
211;03-01-05-01-02-02-04.wav;82403;10000.007
212;03-01-05-02-01-01-04.wav;83139;9999.798
213;03-01-05-02-01-02-04.wav;85345;9999.944
