;Actor;Sex;Emotion;Intensity;Statement;Reps;File;No. Samples;Duration;Detrented Fluctuation Analysis;Sample Rate
0;Actor_01;Man;Neutral;Normal;Kids are talking by the door;1;03-01-01-01-01-01-01.wav;72838;3.303310657596372;0.64734745;22050.0
1;Actor_01;Man;Neutral;Normal;Kids are talking by the door;2;03-01-01-01-01-02-01.wav;73574;3.336689342403628;0.66517377;22050.0
2;Actor_01;Man;Neutral;Normal;Dogs are sitting by the door;1;03-01-01-01-02-01-01.wav;72102;3.269931972789116;0.6145238;22050.0
3;Actor_01;Man;Neutral;Normal;Dogs are sitting by the door;2;03-01-01-01-02-02-01.wav;69895;3.1698412698412697;0.6606126;22050.0
4;Actor_01;Man;Calm;Normal;Kids are talking by the door;1;03-01-02-01-01-01-01.wav;77988;3.53687074829932;0.6720308;22050.0
5;Actor_01;Man;Calm;Normal;Kids are talking by the door;2;03-01-02-01-01-02-01.wav;79460;3.603628117913832;0.70552653;22050.0
6;Actor_01;Man;Calm;Normal;Dogs are sitting by the door;1;03-01-02-01-02-01-01.wav;77253;3.5035374149659866;0.64719945;22050.0
7;Actor_01;Man;Calm;Normal;Dogs are sitting by the door;2;03-01-02-01-02-02-01.wav;76517;3.47015873015873;0.67460155;22050.0
8;Actor_01;Man;Calm;Strong;Kids are talking by the door;1;03-01-02-02-01-01-01.wav;81667;3.703718820861678;0.7579896;22050.0
9;Actor_01;Man;Calm;Strong;Kids are talking by the door;2;03-01-02-02-01-02-01.wav;88289;4.004036281179138;0.69502187;22050.0
10;Actor_01;Man;Calm;Strong;Dogs are sitting by the door;1;03-01-02-02-02-01-01.wav;92703;4.20421768707483;0.6467371;22050.0
11;Actor_01;Man;Calm;Strong;Dogs are sitting by the door;2;03-01-02-02-02-02-01.wav;88289;4.004036281179138;0.6539977;22050.0
12;Actor_01;Man;Happy;Normal;Kids are talking by the door;1;03-01-03-01-01-01-01.wav;76517;3.47015873015873;0.6192837;22050.0
13;Actor_01;Man;Happy;Normal;Kids are talking by the door;2;03-01-03-01-01-02-01.wav;76517;3.47015873015873;0.6317003;22050.0
14;Actor_01;Man;Happy;Normal;Dogs are sitting by the door;1;03-01-03-01-02-01-01.wav;77988;3.53687074829932;0.6170159;22050.0
15;Actor_01;Man;Happy;Normal;Dogs are sitting by the door;2;03-01-03-01-02-02-01.wav;81667;3.703718820861678;0.59793067;22050.0
16;Actor_01;Man;Happy;Strong;Kids are talking by the door;1;03-01-03-02-01-01-01.wav;80931;3.670340136054422;0.53680456;22050.0
17;Actor_01;Man;Happy;Strong;Kids are talking by the door;2;03-01-03-02-01-02-01.wav;80195;3.6369614512471657;0.55489975;22050.0
18;Actor_01;Man;Happy;Strong;Dogs are sitting by the door;1;03-01-03-02-02-01-01.wav;86817;3.937278911564626;0.5138819;22050.0
19;Actor_01;Man;Happy;Strong;Dogs are sitting by the door;2;03-01-03-02-02-02-01.wav;86817;3.937278911564626;0.49989688;22050.0
20;Actor_01;Man;Sad;Normal;Kids are talking by the door;1;03-01-04-01-01-01-01.wav;84610;3.83718820861678;0.6619389;22050.0
21;Actor_01;Man;Sad;Normal;Kids are talking by the door;2;03-01-04-01-01-02-01.wav;78724;3.570249433106576;0.66086626;22050.0
22;Actor_01;Man;Sad;Normal;Dogs are sitting by the door;1;03-01-04-01-02-01-01.wav;77253;3.5035374149659866;0.6401529;22050.0
23;Actor_01;Man;Sad;Normal;Dogs are sitting by the door;2;03-01-04-01-02-02-01.wav;74310;3.3700680272108845;0.63025326;22050.0
24;Actor_01;Man;Sad;Strong;Kids are talking by the door;1;03-01-04-02-01-01-01.wav;83874;3.803809523809524;0.66851753;22050.0
25;Actor_01;Man;Sad;Strong;Kids are talking by the door;2;03-01-04-02-01-02-01.wav;81667;3.703718820861678;0.6004826;22050.0
26;Actor_01;Man;Sad;Strong;Dogs are sitting by the door;1;03-01-04-02-02-01-01.wav;82403;3.737097505668934;0.587326;22050.0
27;Actor_01;Man;Sad;Strong;Dogs are sitting by the door;2;03-01-04-02-02-02-01.wav;82403;3.737097505668934;0.5590909;22050.0
28;Actor_01;Man;Angry;Normal;Kids are talking by the door;1;03-01-05-01-01-01-01.wav;85346;3.870566893424036;0.5537593;22050.0
