;Actor;Sex;Emotion;Intensity;Statement;Reps;File;No. Samples;Duration;Hurst Exponent;Sample Rate
0;Actor_01;Man;Neutral;Normal;Kids are talking by the door;1;03-01-01-01-01-01-01.wav;72838;3.303310657596372;0.66274154;22050.0
1;Actor_01;Man;Neutral;Normal;Kids are talking by the door;2;03-01-01-01-01-02-01.wav;73574;3.336689342403628;0.6792294;22050.0
2;Actor_01;Man;Neutral;Normal;Dogs are sitting by the door;1;03-01-01-01-02-01-01.wav;72102;3.269931972789116;0.6592527;22050.0
3;Actor_01;Man;Neutral;Normal;Dogs are sitting by the door;2;03-01-01-01-02-02-01.wav;69895;3.1698412698412697;0.67209136;22050.0
4;Actor_01;Man;Calm;Normal;Kids are talking by the door;1;03-01-02-01-01-01-01.wav;77988;3.53687074829932;0.6351295;22050.0
5;Actor_01;Man;Calm;Normal;Kids are talking by the door;2;03-01-02-01-01-02-01.wav;79460;3.603628117913832;0.61201626;22050.0
6;Actor_01;Man;Calm;Normal;Dogs are sitting by the door;1;03-01-02-01-02-01-01.wav;77253;3.5035374149659866;0.65821;22050.0
7;Actor_01;Man;Calm;Normal;Dogs are sitting by the door;2;03-01-02-01-02-02-01.wav;76517;3.47015873015873;0.66881776;22050.0
8;Actor_01;Man;Calm;Strong;Kids are talking by the door;1;03-01-02-02-01-01-01.wav;81667;3.703718820861678;0.62856704;22050.0
9;Actor_01;Man;Calm;Strong;Kids are talking by the door;2;03-01-02-02-01-02-01.wav;88289;4.004036281179138;0.58495414;22050.0
10;Actor_01;Man;Calm;Strong;Dogs are sitting by the door;1;03-01-02-02-02-01-01.wav;92703;4.20421768707483;0.5856805;22050.0
11;Actor_01;Man;Calm;Strong;Dogs are sitting by the door;2;03-01-02-02-02-02-01.wav;88289;4.004036281179138;0.57757074;22050.0
12;Actor_01;Man;Happy;Normal;Kids are talking by the door;1;03-01-03-01-01-01-01.wav;76517;3.47015873015873;0.606138;22050.0
13;Actor_01;Man;Happy;Normal;Kids are talking by the door;2;03-01-03-01-01-02-01.wav;76517;3.47015873015873;0.6863435;22050.0
14;Actor_01;Man;Happy;Normal;Dogs are sitting by the door;1;03-01-03-01-02-01-01.wav;77988;3.53687074829932;0.58165735;22050.0
15;Actor_01;Man;Happy;Normal;Dogs are sitting by the door;2;03-01-03-01-02-02-01.wav;81667;3.703718820861678;0.6145214;22050.0
16;Actor_01;Man;Happy;Strong;Kids are talking by the door;1;03-01-03-02-01-01-01.wav;80931;3.670340136054422;0.493497;22050.0
17;Actor_01;Man;Happy;Strong;Kids are talking by the door;2;03-01-03-02-01-02-01.wav;80195;3.6369614512471657;0.5933941;22050.0
18;Actor_01;Man;Happy;Strong;Dogs are sitting by the door;1;03-01-03-02-02-01-01.wav;86817;3.937278911564626;0.5409052;22050.0
19;Actor_01;Man;Happy;Strong;Dogs are sitting by the door;2;03-01-03-02-02-02-01.wav;86817;3.937278911564626;0.5137825;22050.0
20;Actor_01;Man;Sad;Normal;Kids are talking by the door;1;03-01-04-01-01-01-01.wav;84610;3.83718820861678;0.5182384;22050.0
21;Actor_01;Man;Sad;Normal;Kids are talking by the door;2;03-01-04-01-01-02-01.wav;78724;3.570249433106576;0.5752489;22050.0
22;Actor_01;Man;Sad;Normal;Dogs are sitting by the door;1;03-01-04-01-02-01-01.wav;77253;3.5035374149659866;0.5387998;22050.0
23;Actor_01;Man;Sad;Normal;Dogs are sitting by the door;2;03-01-04-01-02-02-01.wav;74310;3.3700680272108845;0.5955356;22050.0
24;Actor_01;Man;Sad;Strong;Kids are talking by the door;1;03-01-04-02-01-01-01.wav;83874;3.803809523809524;0.68253076;22050.0
25;Actor_01;Man;Sad;Strong;Kids are talking by the door;2;03-01-04-02-01-02-01.wav;81667;3.703718820861678;0.5095654;22050.0
