;Actor;Sex;Emotion;Intensity;Statement;Reps;File;No. Samples;Duration;1st Lyapunov Exponent;2nd Lyapunov Exponent;3rd Lyapunov Exponent;4th Lyapunov Exponent;Sample Rate
0;Actor_01;Man;Neutral;Normal;Kids are talking by the door;1;03-01-01-01-01-01-01.wav;72838;3.303310657596372;0.19412312;0.04904685;-0.05827832;-0.22985484;9999.968
1;Actor_01;Man;Neutral;Normal;Kids are talking by the door;2;03-01-01-01-01-02-01.wav;73574;3.336689342403628;0.20282748;0.054278906;-0.055130754;-0.23013097;10000.032
2;Actor_01;Man;Neutral;Normal;Dogs are sitting by the door;1;03-01-01-01-02-01-01.wav;72102;3.269931972789116;0.20676012;0.053725157;-0.055659585;-0.23209757;9999.902
3;Actor_01;Man;Neutral;Normal;Dogs are sitting by the door;2;03-01-01-01-02-02-01.wav;69895;3.1698412698412697;0.2103369;0.060357325;-0.05229916;-0.22509247;9999.87
4;Actor_01;Man;Calm;Normal;Kids are talking by the door;1;03-01-02-01-01-01-01.wav;77988;3.53687074829932;0.20210151;0.052979633;-0.056395896;-0.23306678;9999.8
5;Actor_01;Man;Calm;Normal;Kids are talking by the door;2;03-01-02-01-01-02-01.wav;79460;3.603628117913832;0.20167723;0.050678987;-0.05676242;-0.23097692;9999.922
6;Actor_01;Man;Calm;Normal;Dogs are sitting by the door;1;03-01-02-01-02-01-01.wav;77253;3.5035374149659866;0.19773102;0.04837195;-0.057051446;-0.22805987;9999.894
7;Actor_01;Man;Calm;Normal;Dogs are sitting by the door;2;03-01-02-01-02-02-01.wav;76517;3.47015873015873;0.21206139;0.057342354;-0.054070607;-0.23073378;9999.831
8;Actor_01;Man;Calm;Strong;Kids are talking by the door;1;03-01-02-02-01-01-01.wav;81667;3.703718820861678;0.18774462;0.04935158;-0.054734256;-0.22785932;9999.949
9;Actor_01;Man;Calm;Strong;Kids are talking by the door;2;03-01-02-02-01-02-01.wav;88289;4.004036281179138;0.18963552;0.048018906;-0.05660174;-0.22875062;9999.909
10;Actor_01;Man;Calm;Strong;Dogs are sitting by the door;1;03-01-02-02-02-01-01.wav;92703;4.20421768707483;0.19040261;0.04956679;-0.05215281;-0.22043802;9999.958
11;Actor_01;Man;Calm;Strong;Dogs are sitting by the door;2;03-01-02-02-02-02-01.wav;88289;4.004036281179138;0.18296348;0.043908916;-0.053414702;-0.22174418;9999.909
12;Actor_01;Man;Happy;Normal;Kids are talking by the door;1;03-01-03-01-01-01-01.wav;76517;3.47015873015873;0.20352526;0.055792864;-0.053500768;-0.23134767;9999.831
13;Actor_01;Man;Happy;Normal;Kids are talking by the door;2;03-01-03-01-01-02-01.wav;76517;3.47015873015873;0.19311962;0.052636363;-0.055233695;-0.23129618;9999.831
14;Actor_01;Man;Happy;Normal;Dogs are sitting by the door;1;03-01-03-01-02-01-01.wav;77988;3.53687074829932;0.19202374;0.05018904;-0.054364342;-0.22633918;9999.8
15;Actor_01;Man;Happy;Normal;Dogs are sitting by the door;2;03-01-03-01-02-02-01.wav;81667;3.703718820861678;0.20717898;0.057929907;-0.05231739;-0.22735225;9999.949
16;Actor_01;Man;Happy;Strong;Kids are talking by the door;1;03-01-03-02-01-01-01.wav;80931;3.670340136054422;0.171119;0.045206163;-0.05619437;-0.22085027;9999.891
17;Actor_01;Man;Happy;Strong;Kids are talking by the door;2;03-01-03-02-01-02-01.wav;80195;3.6369614512471657;0.1443454;0.03805169;-0.050790824;-0.20204945;9999.831
18;Actor_01;Man;Happy;Strong;Dogs are sitting by the door;1;03-01-03-02-02-01-01.wav;86817;3.937278911564626;0.14106767;0.039577886;-0.04913194;-0.19765551;9999.8
19;Actor_01;Man;Happy;Strong;Dogs are sitting by the door;2;03-01-03-02-02-02-01.wav;86817;3.937278911564626;0.17371108;0.0443328;-0.053393338;-0.21663015;9999.8
